sku,name,price,image_filenames,primary_image,product_url
0B1010,Magnet 9. Booth 64,,0B1010_0.png|0B1010_1.jpg,0B1010_0.png,https://bowenstreet.ricoconsign.com/store/product/Decorations/0B1010
0B1011,Magnet 10. Booth 64,,0B1011_0.png|0B1011_1.jpg,0B1011_0.png,https://bowenstreet.ricoconsign.com/store/product/Decorations/0B1011
0BF072,Wall mirror,,0BF072_0.png|0BF072_1.jpg,0BF072_0.png,https://bowenstreet.ricoconsign.com/store/product/Decorations/0BF072
0BF073,Bottle opener/cap jar,,0BF073_0.png|0BF073_1.jpg,0BF073_0.png,https://bowenstreet.ricoconsign.com/store/product/Decorations/0BF073
0BF074,Magazine holder,,0BF074_0.png|0BF074_1.jpg,0BF074_0.png,https://bowenstreet.ricoconsign.com/store/product/Decorations/0BF074
0040A2,"48"" drop leaf coffee table",,0040A2_0.png|0040A2_1.jpg|0040A2_2.jpg,0040A2_0.png,https://bowenstreet.ricoconsign.com/store/product/Furniture/0040A2
00W02G,Decorative Chair Blue,,00W02G_0.png|00W02G_1.jpg,00W02G_0.png,https://bowenstreet.ricoconsign.com/store/product/Furniture/00W02G
01I0RE,Side Table,,01I0RE_0.png|01I0RE_1.jpeg|01I0RE_2.jpeg,01I0RE_0.png,https://bowenstreet.ricoconsign.com/store/product/Furniture/01I0RE
01I0RM,Solid Bookshelf,,01I0RM_0.png|01I0RM_1.jpeg,01I0RM_0.png,https://bowenstreet.ricoconsign.com/store/product/Furniture/01I0RM
09I003,Mirror,,09I003_0.png,09I003_0.png,https://bowenstreet.ricoconsign.com/store/product/Furniture/09I003
01109F,Rubber Duckies w/tubes,,01109F_0.png|01109F_1.jpg,01109F_0.png,https://bowenstreet.ricoconsign.com/store/product/Handmade%20items/01109F
01109G,Rubber Duckies w/tubes,,01109G_0.png|01109G_1.jpg,01109G_0.png,https://bowenstreet.ricoconsign.com/store/product/Handmade%20items/01109G
0B0023,Stone macrame bracelet  - booth 64,,0B0023_0.png|0B0023_1.jpeg,0B0023_0.png,https://bowenstreet.ricoconsign.com/store/product/Jewelry/0B0023
0BF06E,Lia Sophia Bisque bracelet,,0BF06E_0.png|0BF06E_1.jpg|0BF06E_2.jpg,0BF06E_0.png,https://bowenstreet.ricoconsign.com/store/product/Jewelry/0BF06E
